iter	Logloss	Accuracy
175	0.329991183	0.8745046235
176	0.329696062	0.8771466314
177	0.3293718594	0.8771466314
178	0.3287088962	0.8784676354
179	0.3286883357	0.8771466314
180	0.3286001277	0.8784676354
181	0.328483688	0.8771466314
182	0.3281041921	0.8771466314
183	0.3274149356	0.8797886394
184	0.3272196371	0.8784676354
185	0.3269252462	0.8797886394
186	0.326896725	0.8797886394
187	0.3268260849	0.8797886394
188	0.3267946305	0.8797886394
189	0.3263493456	0.8784676354
190	0.3261522264	0.8784676354
191	0.3260773728	0.8784676354
192	0.3255770433	0.8797886394
193	0.3252760655	0.8797886394
194	0.3249643637	0.8797886394
195	0.3249488005	0.8784676354
196	0.3246484086	0.8797886394
197	0.3245026885	0.8797886394
198	0.3245026878	0.8797886394
199	0.324141121	0.8797886394
200	0.3240263245	0.8797886394
201	0.3237382158	0.8811096433
202	0.3231684427	0.8811096433
203	0.3221758095	0.8797886394
204	0.3221757421	0.8797886394
205	0.3220238137	0.8811096433
206	0.3211157752	0.8784676354
207	0.3210634446	0.8784676354
208	0.320827357	0.8797886394
209	0.3193418692	0.8797886394
210	0.319065284	0.8824306473
211	0.3185310532	0.8797886394
212	0.3185126194	0.8797886394
213	0.3185055876	0.8797886394
214	0.3182673755	0.8797886394
215	0.3178595668	0.8797886394
216	0.3176659026	0.8797886394
217	0.317418063	0.8811096433
218	0.3173406635	0.8811096433
219	0.3167643969	0.8811096433
220	0.316417658	0.8811096433
221	0.3161555152	0.8797886394
222	0.3155720827	0.8824306473
223	0.315204507	0.8837516513
224	0.3147995241	0.8877146631
225	0.3145132405	0.8863936592
226	0.3142267991	0.8903566711
227	0.3141292212	0.8903566711
228	0.3141023287	0.8903566711
229	0.3141019271	0.8903566711
230	0.3137921549	0.8903566711
231	0.3135001074	0.8903566711
232	0.3133959641	0.8903566711
233	0.3132331466	0.8903566711
234	0.3131416364	0.891677675
235	0.3128241061	0.8903566711
236	0.311843302	0.892998679
237	0.3117741601	0.892998679
238	0.3111288056	0.8903566711
239	0.3108866438	0.8903566711
240	0.3102871791	0.894319683
241	0.3101402917	0.894319683
242	0.3098088994	0.894319683
243	0.3097949674	0.894319683
244	0.3093389073	0.892998679
245	0.3093149565	0.892998679
246	0.3092331103	0.892998679
247	0.3091877905	0.892998679
248	0.3089134577	0.892998679
249	0.3085999467	0.894319683
250	0.3085707434	0.894319683
251	0.3081924609	0.892998679
252	0.3079063269	0.894319683
253	0.3078252577	0.8956406869
254	0.3076678049	0.8956406869
255	0.3075965173	0.8956406869
256	0.3075329154	0.8956406869
257	0.3074295684	0.8956406869
258	0.307417503	0.8956406869
259	0.3072503038	0.8956406869
260	0.3066196284	0.8956406869
261	0.306537921	0.8956406869
262	0.3062687144	0.8969616909
263	0.3060319819	0.8969616909
264	0.3053531683	0.8982826948
265	0.3053296945	0.8982826948
266	0.3051841814	0.8982826948
267	0.3051674145	0.8982826948
268	0.3051456896	0.8982826948
269	0.3047443427	0.8982826948
270	0.3040776839	0.8982826948
271	0.3035186563	0.8996036988
272	0.3034328184	0.8996036988
273	0.3032541515	0.8996036988
274	0.3025784009	0.9009247028
275	0.3024668695	0.9009247028
276	0.3022604441	0.9009247028
277	0.3017984807	0.9022457067
278	0.3016277405	0.9022457067
279	0.3014474548	0.9009247028
280	0.3011951636	0.9009247028
281	0.300838536	0.9009247028
282	0.3006172059	0.8982826948
283	0.3001513957	0.9009247028
284	0.2998050526	0.8996036988
285	0.2994678565	0.8996036988
286	0.2992075662	0.8996036988
287	0.2990630531	0.9009247028
288	0.2987951993	0.8996036988
289	0.2983594369	0.8982826948
290	0.2983283181	0.8982826948
291	0.2979946008	0.8982826948
292	0.2974941439	0.8982826948
293	0.2972332613	0.8996036988
294	0.2967291498	0.8996036988
295	0.2966468736	0.8996036988
296	0.2963996642	0.8996036988
297	0.2963217929	0.8996036988
298	0.2952991062	0.9022457067
299	0.2948571467	0.9022457067
300	0.2944887527	0.9022457067
301	0.2939974433	0.9022457067
302	0.2933563302	0.9022457067
303	0.2928670436	0.9035667107
304	0.2926437258	0.9035667107
305	0.2922614165	0.9035667107
306	0.2918548496	0.9009247028
307	0.2915001353	0.9022457067
308	0.2914704449	0.9022457067
309	0.2908150454	0.9022457067
310	0.2906804678	0.9022457067
311	0.2905178989	0.9022457067
312	0.2901900494	0.9022457067
313	0.2899382452	0.9035667107
314	0.2898523179	0.9035667107
315	0.2896251744	0.9022457067
316	0.2895459239	0.9022457067
317	0.2894636705	0.9035667107
318	0.2888837836	0.9035667107
319	0.2888218293	0.9048877147
320	0.2883629304	0.9035667107
321	0.2882436087	0.9022457067
322	0.2880274749	0.9022457067
323	0.2877177908	0.9022457067
324	0.2872382821	0.9035667107
325	0.2866823618	0.9035667107
326	0.2863479059	0.9035667107
327	0.2858427536	0.9048877147
328	0.2854664769	0.9048877147
329	0.2851344347	0.9035667107
330	0.2849546591	0.9035667107
